Net Status Report
Filename     : C:\Users\040602\Desktop\PRJ-US1SBC (11-13-2018 2-40-42 PM)_1\PWB-US1SBC.PcbDoc
Date         : 3/20/2019
Time         : 2:32:15 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    MIO47_SD1_D1, Signal Layers Only, 1362.173mils
    MIO48_SD1_D2, Signal Layers Only, 1485.256mils
    MIO49_SD1_D3, Signal Layers Only, 1653.29mils
    MIO4_I2C1_SCL, Signal Layers Only, 1517.98mils
    MIO50_SD1_CMD, Signal Layers Only, 1218.15mils
    MIO51_SD1_CLK, Signal Layers Only, 1278.025mils
    MIO52_USB0_CLK, Signal Layers Only, 1573.236mils
    MIO53_USB0_DIR, Signal Layers Only, 1575.788mils
    MIO54_USB0_DATA2, Signal Layers Only, 1634.638mils
    MIO55_USB0_NXT, Signal Layers Only, 1764.012mils
    MIO56_USB0_DATA0, Signal Layers Only, 1638.914mils
    MIO57_USB0_DATA1, Signal Layers Only, 1595.122mils
    MIO58_USB0_STP, Signal Layers Only, 1731.019mils
    MIO59_USB0_DATA3, Signal Layers Only, 1569.912mils
    MIO5_I2C1_SDA, Signal Layers Only, 1939.163mils
    MIO60_USB0_DATA4, Signal Layers Only, 1577.167mils
    MIO61_USB0_DATA5, Signal Layers Only, 1595.411mils
    MIO62_USB0_DATA6, Signal Layers Only, 1662.519mils
    MIO63_USB0_DATA7, Signal Layers Only, 1768.826mils
    MIO64_USB1_CLK, Signal Layers Only, 2262.483mils
    MIO65_USB1_DIR, Signal Layers Only, 2353.959mils
    MIO66_USB1_DATA2, Signal Layers Only, 2306.597mils
    MIO67_USB1_NXT, Signal Layers Only, 2423.244mils
    MIO68_USB1_DATA0, Signal Layers Only, 2409.207mils
    MIO69_USB1_DATA1, Signal Layers Only, 2260.802mils
    MIO6_SPI1_SCLK, Signal Layers Only, 703.614mils
    MIO70_USB1_STP, Signal Layers Only, 2328.872mils
    MIO71_USB1_DATA3, Signal Layers Only, 2326.885mils
    MIO72_USB1_DATA4, Signal Layers Only, 2314.628mils
    MIO73_USB1_DATA5, Signal Layers Only, 2358.666mils
    MIO74_USB1_DATA6, Signal Layers Only, 2317.303mils
    MIO75_USB1_DATA7, Signal Layers Only, 2312.168mils
    MIO76_WLAN_IRQ, Signal Layers Only, 2338.577mils
    MIO77_PWR_ALERT_N, Signal Layers Only, 3681.436mils
    MIO7_RADIO_RST_N, Signal Layers Only, 2347.806mils
    MIO7_RAD_RST_N, Signal Layers Only, 763.298mils
    MIO8_RADIO_EN, Signal Layers Only, 2434.669mils
    MIO9_SPI1_CS, Signal Layers Only, 661.705mils
    NetC101_2, Signal Layers Only, 191.739mils
    NetC102_2, Signal Layers Only, 60.97mils
    NetC108_1, Signal Layers Only, 1068.669mils
    NetC118_2, Signal Layers Only, 139.563mils
    NetC119_2, Signal Layers Only, 92.954mils
    NetC143_2, Signal Layers Only, 191.739mils
    NetC144_2, Signal Layers Only, 70.97mils
    NetC146_1, Signal Layers Only, 1067.829mils
    NetC155_2, Signal Layers Only, 151.872mils
    NetC156_2, Signal Layers Only, 122.998mils
    NetC178_1, Signal Layers Only, 142.77mils
    NetC206_2, Signal Layers Only, 818.976mils
    NetC214_2, Signal Layers Only, 747.935mils
    NetC225_1, Signal Layers Only, 332.335mils
    NetC226_2, Signal Layers Only, 70.347mils
    NetC231_1, Signal Layers Only, 174.731mils
    NetC231_2, Signal Layers Only, 40.087mils
    NetC237_1, Signal Layers Only, 40.593mils
    NetC237_2, Signal Layers Only, 117.441mils
    NetC239_2, Signal Layers Only, 506.278mils
    NetC240_1, Signal Layers Only, 973.844mils
    NetC240_2, Signal Layers Only, 32.864mils
    NetC245_2, Signal Layers Only, 201.536mils
    NetC247_2, Signal Layers Only, 116.192mils
    NetC249_1, Signal Layers Only, 444.708mils
    NetC24_1, Signal Layers Only, 58.619mils
    NetC250_1, Signal Layers Only, 95.271mils
    NetC27_1, Signal Layers Only, 218.62mils
    NetC29_2, Signal Layers Only, 54.986mils
    NetC63_2, Signal Layers Only, 541.171mils
    NetC67_2, Signal Layers Only, 254.255mils
    NetC69_2, Signal Layers Only, 295.044mils
    NetC74_1, Signal Layers Only, 125.157mils
    NetC74_2, Signal Layers Only, 41.934mils
    NetC83_1, Signal Layers Only, 260.533mils
    NetC84_1, Signal Layers Only, 340.633mils
    NetD10_1, Signal Layers Only, 392.633mils
    NetD10_2, Signal Layers Only, 50.612mils
    NetD12_1, Signal Layers Only, 641.156mils
    NetD12_2, Signal Layers Only, 46.998mils
    NetD17_2, Signal Layers Only, 35.44mils
    NetD19_2, Signal Layers Only, 0mils
    NetD1_1, Signal Layers Only, 363.229mils
    NetD1_2, Signal Layers Only, 45.612mils
    NetD20_2, Signal Layers Only, 136.436mils
    NetD2_2, Signal Layers Only, 45.612mils
    NetD3_1, Signal Layers Only, 1037.833mils
    NetD3_2, Signal Layers Only, 60.617mils
    NetD4_1, Signal Layers Only, 1085.636mils
    NetD4_2, Signal Layers Only, 41.356mils
    NetD5_1, Signal Layers Only, 646.503mils
    NetD5_2, Signal Layers Only, 52.623mils
    NetD6_1, Signal Layers Only, 1307.017mils
    NetD6_2, Signal Layers Only, 73.387mils
    NetD7_1, Signal Layers Only, 1155.125mils
    NetD7_2, Signal Layers Only, 167.369mils
    NetD8_1, Signal Layers Only, 337.649mils
    NetD8_2, Signal Layers Only, 178.379mils
    NetD9_1, Signal Layers Only, 556.918mils
    NetD9_2, Signal Layers Only, 50.612mils
    NetJ1_1, Signal Layers Only, 692.352mils
    NetJ1_2, Signal Layers Only, 534.819mils
    NetJ1_4, Signal Layers Only, 1059.812mils
    NetJ2_1, Signal Layers Only, 676.136mils
    NetJ2_10, Signal Layers Only, 171.983mils
    NetJ2_2, Signal Layers Only, 605.304mils
    NetJ2_3, Signal Layers Only, 555.465mils
    NetJ2_5, Signal Layers Only, 692.02mils
    NetJ2_7, Signal Layers Only, 635.545mils
    NetJ2_8, Signal Layers Only, 1023.229mils
    NetJ4_60, Signal Layers Only, 115.254mils
